name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
바나나테라피,로드샵,서울특별시 강남구 봉은사로 지하 501,강남구,서울특별시 강남구,37.5128889,127.0526509,False,11230,삼성중앙역,삼성중앙역 6번출구,삼성중앙역 6번출구 도보 5분
영앤핫 홈케어,홈타이,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,,,False,11230,,,
구인마사지,로드샵,서울특별시 강북구 도봉로 지하 50,강북구,서울특별시 강북구,37.613251,127.030084,False,11090,미아사거리역,미아사거리역 3번출구,미아사거리역3번출구
5월스파,로드샵,서울특별시 강남구 학동로33길 15,강남구,서울특별시 강남구,37.515718,127.0322938,True,11230,,,
더원왁싱,왁싱,서울특별시 강남구 강남대로 328,강남구,서울특별시 강남구,37.497952,127.027619,False,11230,강남역,강남역 3번출구,강남역3번출구
강남 vip스웨디시&왁싱샵,로드샵,서울특별시 강남구 일원로 지하 2,강남구,서울특별시 강남구,37.493601,127.079526,False,11230,대청역,대청역 4번출구,대청역 4번출구로 나와서 직진
강남일급수스웨디시,로드샵,서울특별시 강남구 학동로 지하 102,강남구,서울특별시 강남구,,,False,11230,,,논혁역7번출구
즐겨찾기,로드샵,서울특별시 서초구 강남대로 48-3,서초구,서울특별시 서초구,37.4692725,127.0399029,True,11220,,,양재동
썬아로마,로드샵,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,False,11230,강남역,,강남역 부근
라움테라피,로드샵,서울특별시 강남구 강남대로 328,강남구,서울특별시 강남구,37.5000776,127.0385419,False,11230,강남역,,강남역
엠테라피,로드샵,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,False,11230,강남역,,강남역
네오테라피,1인샵,서울특별시 강남구 봉은사로 지하 102,강남구,서울특별시 강남구,,,False,11230,,,역삼 신논현
야놀자스웨디시,로드샵,서울특별시 강남구 도산대로 지하 102,강남구,서울특별시 강남구,37.517489,127.019407,False,11230,신사역,신사역 6번출구,신사역 6번출구
별아로마,로드샵,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,False,11230,강남역,,강남역
소망스웨디시,로드샵,서울특별시 서초구 남부순환로 지하 2585,서초구,서울특별시 서초구,37.484102,127.034369,False,11220,양재역,양재역 2번출구,양재역2번출구
히트1인샵,1인샵,서울특별시 강북구 도봉로 지하 338,강북구,서울특별시 강북구,37.5889213,127.0066757,False,11090,수유역,수유역 7번출구,수유역 7번출구 도보4분
