name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
홍대입구,마사지,서울특별시 마포구 서교동 (상세주소 문의),마포구,서울특별시 마포구,37.55632674,126.9226989,FALSE,11140,홍대입구역,홍대입구역 1번 출구,홍대입구역 1번 출구 도보 1분
논현왓포타이마사지,마사지,서울특별시 강남구 논현동 182-25번지 화랑닭발 4층,강남구,서울특별시 강남구,37.506906,127.0249521,TRUE,11230,,,
두바이테라피,마사지,서울특별시 금천구 벚꽃로40길 3,금천구,서울특별시 금천구,37.4821631,126.8831475,TRUE,11180,가산디지털단지역,가산디지털단지역 2번 출구,가산디지털단지역 2번 출구 도보 3분
타이365,마사지,서울특별시 서대문구 연세로 4길 19 3층,서대문구,서울특별시 서대문구,37.557395,126.9378107,TRUE,11130,,,
풋앤조이,마사지,서울특별시 은평구 연서로211 하경빌딩 4층,은평구,서울특별시 은평구,37.6173886,126.9191405,TRUE,11120,,,
사월왁싱,왁싱,서울특별시 강남구 역삼로3길 17-6,강남구,서울특별시 강남구,37.4947016,127.0305955,TRUE,11230,,,
시온타이,마사지,"서울특별시 종로구 종로10길14, 4층",종로구,서울특별시 종로구,37.5693949,126.9843006,TRUE,11010,,,
왁싱맨,왁싱,서울특별시 강남구 강남대로84길 23,강남구,서울특별시 강남구,37.4971347,127.0303771,TRUE,11230,,,
이모꾸비,왁싱,서울특별시 은평구 진흥로 17 역촌동 43-47 2층,은평구,서울특별시 은평구,37.6056596,126.9216362,TRUE,11120,,,
업클로즈왁싱,왁싱,서울특별시 강남구 삼성로71길 32,강남구,서울특별시 강남구,37.5017175,127.056292,TRUE,11230,,,
퀸슈가링왁싱,왁싱,서울특별시 강남구 압구정로46길 5-6,강남구,서울특별시 강남구,37.5279733,127.0372002,TRUE,11230,압구정로데오역,압구정로데오역 6번 출구,압구정로데오역 6번 출구 3분 거리
입소문왁싱,왁싱,서울특별시 강남구 테헤란로55길 17,강남구,서울특별시 강남구,37.5056561,127.0470619,TRUE,11230,,,
LBL왁싱,왁싱,서울특별시 용산구 우사단로 40 이태원동 136-46 킹클럽 3층,용산구,서울특별시 용산구,37.5336988,126.9958501,TRUE,11030,,,
우먼뷰티끄,왁싱,서울특별시 강남구 테헤란로55길 17,강남구,서울특별시 강남구,37.5056561,127.0470619,TRUE,11230,,,
파리스왁싱태닝,왁싱,서울특별시 서초구 반포대로12길 14 서초동 1585-14 성암빌딩 5층,서초구,서울특별시 서초구,37.4847084,127.012139,TRUE,11220,,,
뽐누왁싱,왁싱,서울특별시 강남구 삼성로103길 12,강남구,서울특별시 강남구,37.5103886,127.053406,TRUE,11230,,,
워너비왁싱,왁싱,서울특별시 강남구 논현로158길 9,강남구,서울특별시 강남구,37.5221934,127.02921,TRUE,11230,,,
W왁싱,왁싱,서울특별시 서초구 서초중앙로 95 서초동 1576-8 거북빌딩 2층,서초구,서울특별시 서초구,37.49036299999999,127.0139508,TRUE,11220,,,
마이뷰티,왁싱,서울특별시 강서구 강서로18길 21,강서구,서울특별시 강서구,37.5340488,126.8468367,TRUE,11160,,,
늘솜피다,왁싱,서울특별시 강서구 마곡중앙4로 18,강서구,서울특별시 강서구,37.5585279,126.8286072,TRUE,11160,,,
왁싱앤라인,왁싱,서울특별시 마포구 어울마당로 94-7 서교동 358-111 대유빌딩 5층,마포구,서울특별시 마포구,37.5532731,126.9223807,TRUE,11140,,,
