name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail,source_file
115,,서울특별시 강남구 테헤란로 115,강남구,서울특별시 강남구,37.4990759,127.0298871,True,11230.0,,,,f_clean_clean_hyperblick.csv
수목원,,서울특별시 강남구 역삼동 823-30,강남구,서울특별시 강남구,37.4983624,127.0330702,True,11230.0,,,,f_clean_clean_hyperblick.csv
런닝래빗,,서울특별시 강남구 역삼동 604-7 삼정호텔 지하,강남구,서울특별시 강남구,37.5061222,127.0311805,True,11230.0,,,,f_clean_clean_hyperblick.csv
리조트,,서울특별시 강남구 삼성동 142-36 지하,강남구,서울특별시 강남구,37.5056581,127.0507119,True,11230.0,,,,f_clean_clean_hyperblick.csv
트렌드,,서울특별시 강남구 역삼동 831-42,강남구,서울특별시 강남구,37.4938831,127.0313263,True,11230.0,,,,f_clean_clean_hyperblick.csv
엘리트,,서울특별시 강남구 대치동 890-38 지하,강남구,서울특별시 강남구,37.5043909,127.0533488,True,11230.0,,,,f_clean_clean_hyperblick.csv
방탄,,서울특별시 강남구 역삼동 832-7,강남구,서울특별시 강남구,37.4918902,127.0309525,True,11230.0,,,,f_clean_clean_hyperblick.csv
슈가스웨디시,,서울특별시 도봉구 마들로11가길 16,도봉구,서울특별시 도봉구,37.65255399999999,127.0489165,True,11100.0,,,,f_clean_clean_koreamasa.csv
다이아테라피,,서울특별시 강남구 선릉로152길 25,강남구,서울특별시 강남구,37.5244849,127.0416926,True,11230.0,,,,f_clean_clean_koreamasa.csv
골드문,,서울특별시 동대문구 전농로 91,동대문구,서울특별시 동대문구,37.5732629,127.0570557,True,11060.0,,,,f_clean_clean_koreamasa.csv
바나나테라피,로드샵,서울특별시 강남구 봉은사로 지하 501,강남구,서울특별시 강남구,37.51263245,127.0533449,False,11230.0,삼성중앙역,삼성중앙역 6번출구,삼성중앙역 6번출구 도보 5분,f_clean_gmnara.csv
영앤핫 홈케어,홈타이,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,False,11230.0,강남역,,,f_clean_gmnara.csv
