name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail
바나나테라피,로드샵,서울특별시 강남구 봉은사로 지하 501,강남구,서울특별시 강남구,37.51263245,127.0533449,FALSE,11230,삼성중앙역,삼성중앙역 6번출구,삼성중앙역 6번출구 도보 5분
영앤핫 홈케어,홈타이,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,
구인마사지,로드샵,서울특별시 강북구 도봉로 지하 50,강북구,서울특별시 강북구,37.61250931,127.0303168,FALSE,11090,미아사거리역,미아사거리역 3번출구,미아사거리역3번출구
5월스파,로드샵,서울특별시 강남구 학동로33길 15,강남구,서울특별시 강남구,37.515718,127.0322938,TRUE,11230,,,
더원왁싱,왁싱,서울특별시 강남구 강남대로 328,강남구,서울특별시 강남구,37.49674957,127.0285002,FALSE,11230,강남역,강남역 3번출구,강남역3번출구
강남 vip스웨디시&왁싱샵,로드샵,서울특별시 강남구 일원로 지하 2,강남구,서울특별시 강남구,37.49339458,127.0798116,FALSE,11230,대청역,대청역 4번출구,대청역 4번출구로 나와서 직진
강남일급수스웨디시,로드샵,서울특별시 강남구 학동로 지하 102,강남구,서울특별시 강남구,37.5111568,127.0210081,FALSE,11230,논현역,논현역 7번출구,논혁역7번출구
즐겨찾기,로드샵,서울특별시 서초구 강남대로 48-3,서초구,서울특별시 서초구,37.4692725,127.0399029,TRUE,11220,,,양재동
썬아로마,로드샵,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,강남역 부근
라움테라피,로드샵,서울특별시 강남구 강남대로 328,강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,강남역
엠테라피,로드샵,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,강남역
네오테라피,1인샵,서울특별시 강남구 봉은사로 지하 102,강남구,서울특별시 강남구,37.504598,127.02506,FALSE,11230,신논현역,,역삼 신논현
야놀자스웨디시,로드샵,서울특별시 강남구 도산대로 지하 102,강남구,서울특별시 강남구,37.51658024,127.0196706,FALSE,11230,신사역,신사역 6번출구,신사역 6번출구
별아로마,로드샵,서울특별시 강남구 강남대로 지하 396,강남구,서울특별시 강남구,37.5000776,127.0385419,FALSE,11230,강남역,,강남역
